Designator,Mid X,Mid Y,Rotation,Layer
,119.412415,-148.41956,0.0,top
D1,126.250608,-96.843805,270.0,bottom
D10,290.500608,-96.843805,270.0,bottom
D11,128.368817,-113.823805,270.0,bottom
D12,148.750608,-113.843805,270.0,bottom
D13,166.750608,-113.843805,270.0,bottom
D14,184.750608,-113.843805,270.0,bottom
D15,202.750608,-113.843805,270.0,bottom
D16,220.750608,-113.843805,270.0,bottom
D17,238.750608,-113.843805,270.0,bottom
D18,256.750608,-113.843805,270.0,bottom
D19,274.750608,-113.843805,270.0,bottom
D2,144.250608,-96.843805,270.0,bottom
D20,292.784029,-113.890841,270.0,bottom
D21,133.000608,-130.843805,270.0,bottom
D22,157.750608,-130.843805,270.0,bottom
D23,175.750608,-130.843805,270.0,bottom
D24,193.750608,-130.843805,270.0,bottom
D25,211.750608,-130.843805,270.0,bottom
D26,229.750608,-130.843805,270.0,bottom
D27,247.750608,-130.843805,270.0,bottom
D28,265.750608,-130.843805,270.0,bottom
D29,288.250608,-130.843805,270.0,bottom
D3,162.250608,-96.843805,270.0,bottom
D30,126.250608,-147.843805,270.0,bottom
D31,144.250608,-147.843805,270.0,bottom
D32,162.250608,-147.843805,270.0,bottom
D33,191.500608,-147.843805,270.0,bottom
D34,229.750608,-147.843805,270.0,bottom
D35,256.750608,-147.843805,270.0,bottom
D36,274.750608,-147.843805,270.0,bottom
D37,292.750608,-147.843805,270.0,bottom
D4,180.250608,-96.843805,270.0,bottom
D5,198.250608,-96.843805,270.0,bottom
D6,216.250608,-96.843805,270.0,bottom
D7,234.250608,-96.843805,270.0,bottom
D8,252.250608,-96.843805,270.0,bottom
D9,270.250608,-96.843805,270.0,bottom
RST1,305.394034,-115.791159,90.0,bottom
SOFT_PWR1,305.394034,-107.729524,90.0,bottom
SW1,128.737826,-102.640063,0.0,top
SW10,292.987826,-102.640063,0.0,top
SW11,130.987826,-119.640063,0.0,top
SW12,151.237826,-119.640063,0.0,top
SW13,169.237826,-119.640063,0.0,top
SW14,187.237826,-119.640063,0.0,top
SW15,205.237826,-119.640063,0.0,top
SW16,223.237826,-119.640063,0.0,top
SW17,241.237826,-119.640063,0.0,top
SW18,259.237826,-119.640063,0.0,top
SW19,277.237826,-119.640063,0.0,top
SW2,146.737826,-102.640063,0.0,top
SW20,295.237826,-119.640063,0.0,top
SW21,135.487826,-136.640063,0.0,top
SW22,160.237826,-136.640063,0.0,top
SW23,178.237826,-136.640063,0.0,top
SW24,196.237826,-136.640063,0.0,top
SW25,214.237826,-136.640063,0.0,top
SW26,232.237826,-136.640063,0.0,top
SW27,250.232807,-136.640063,0.0,top
SW28,268.237826,-136.640063,0.0,top
SW29,290.737826,-136.640063,0.0,top
SW3,164.737826,-102.640063,0.0,top
SW30,128.737826,-153.640063,0.0,top
SW31,146.737826,-153.640063,0.0,top
SW32,164.737826,-153.640063,0.0,top
SW33,193.987826,-153.640063,0.0,top
SW34,232.237826,-153.640063,0.0,top
SW35,259.237826,-153.640063,0.0,top
SW36,277.237826,-153.640063,0.0,top
SW37,295.237826,-153.640063,0.0,top
SW4,182.737826,-102.640063,0.0,top
SW5,200.737826,-102.640063,0.0,top
SW6,218.737826,-102.640063,0.0,top
SW7,236.737826,-102.640063,0.0,top
SW8,254.737826,-102.640063,0.0,top
SW9,272.737826,-102.640063,0.0,top
